"County, State",County Name,State,# per 100K,Calc Positive Severe Depression,Calc Total Depression Responses
"Roger Mills, Oklahoma",Roger Mills,Oklahoma,28.40909091,5,12
"Pushmataha, Oklahoma",Pushmataha,Oklahoma,37.4251497,16,42
"Pottawatomie, Oklahoma",Pottawatomie,Oklahoma,44.91377969,127,360
"Pontotoc, Oklahoma",Pontotoc,Oklahoma,50.95374967,78,196
"Pittsburg, Oklahoma",Pittsburg,Oklahoma,37.09469485,61,154
"Payne, Oklahoma",Payne,Oklahoma,48.06767929,160,485
"Pawnee, Oklahoma",Pawnee,Oklahoma,37.25227239,20,55
"Ottawa, Oklahoma",Ottawa,Oklahoma,39.20098173,46,107
"Osage, Oklahoma",Osage,Oklahoma,36.3891644,113,311
"Okmulgee, Oklahoma",Okmulgee,Oklahoma,36.17057799,59,188
"Oklahoma, Oklahoma",Oklahoma,Oklahoma,44.22382343,1460,4324
"Okfuskee, Oklahoma",Okfuskee,Oklahoma,29.91452992,14,40
"Nowata, Oklahoma",Nowata,Oklahoma,35.00269252,13,34
"Noble, Oklahoma",Noble,Oklahoma,39.35914058,17,40
"Muskogee, Oklahoma",Muskogee,Oklahoma,39.19093268,113,278
"Murray, Oklahoma",Murray,Oklahoma,23.08047392,12,43
"McIntosh, Oklahoma",McIntosh,Oklahoma,38.95408288,32,85
"McCurtain, Oklahoma",McCurtain,Oklahoma,48.18657843,60,133
"McClain, Oklahoma",McClain,Oklahoma,28.42093296,30,99
"Mayes, Oklahoma",Mayes,Oklahoma,42.65642912,64,171
"Marshall, Oklahoma",Marshall,Oklahoma,40.14129737,25,64
"Major, Oklahoma",Major,Oklahoma,37.15212105,11,23
"Love, Oklahoma",Love,Oklahoma,47.5787693,18,35
"Logan, Oklahoma",Logan,Oklahoma,34.07542026,66,215
"Lincoln, Oklahoma",Lincoln,Oklahoma,44.08464251,55,127
"Le Flore, Oklahoma",Le Flore,Oklahoma,42.82746954,80,176
"Latimer, Oklahoma",Latimer,Oklahoma,20.73923864,9,33
"Kiowa, Oklahoma",Kiowa,Oklahoma,54.59770115,19,37
"Kingfisher, Oklahoma",Kingfisher,Oklahoma,37.61455341,22,59
"Kay, Oklahoma",Kay,Oklahoma,34.27738978,64,163
"Johnston, Oklahoma",Johnston,Oklahoma,22.76659685,10,41
"Jefferson, Oklahoma",Jefferson,Oklahoma,27.47755999,6,11
"Jackson, Oklahoma",Jackson,Oklahoma,39.16763749,39,100
"Hughes, Oklahoma",Hughes,Oklahoma,38.50667449,21,48
"Haskell, Oklahoma",Haskell,Oklahoma,36.29324946,18,47
"Harmon, Oklahoma",Harmon,Oklahoma,51.08295873,5,12
"Greer, Oklahoma",Greer,Oklahoma,36.5030115,8,16
"Grady, Oklahoma",Grady,Oklahoma,40.52968894,107,320
"Garvin, Oklahoma",Garvin,Oklahoma,48.66912077,55,130
"Garfield, Oklahoma",Garfield,Oklahoma,40.48261629,102,255
"Ellis, Oklahoma",Ellis,Oklahoma,29.04725019,6,10
"Delaware, Oklahoma",Delaware,Oklahoma,30.10742329,50,160
"Custer, Oklahoma",Custer,Oklahoma,43.07250538,48,139
"Creek, Oklahoma",Creek,Oklahoma,46.99874177,127,316
"Craig, Oklahoma",Craig,Oklahoma,41.05090312,27,71
"Comanche, Oklahoma",Comanche,Oklahoma,35.95279027,174,519
"Coal, Oklahoma",Coal,Oklahoma,47.29474083,10,19
"Cleveland, Oklahoma",Cleveland,Oklahoma,50.82515078,570,1590
"Choctaw, Oklahoma",Choctaw,Oklahoma,40.13961606,23,50
"Cherokee, Oklahoma",Cherokee,Oklahoma,42.86890118,75,211
"Carter, Oklahoma",Carter,Oklahoma,42.40578762,83,258
"Canadian, Oklahoma",Canadian,Oklahoma,52.50672902,309,888
"Caddo, Oklahoma",Caddo,Oklahoma,40.76746929,47,166
"Bryan, Oklahoma",Bryan,Oklahoma,41.03515167,77,216
"Blaine, Oklahoma",Blaine,Oklahoma,15.80078372,5,29
"Beckham, Oklahoma",Beckham,Oklahoma,32.26667854,29,69
"Beaver, Oklahoma",Beaver,Oklahoma,19.18354819,5,16
"Atoka, Oklahoma",Atoka,Oklahoma,54.90626716,28,57
"Adair, Oklahoma",Adair,Oklahoma,47.64231615,39,85
"Wyandot, Ohio",Wyandot,Ohio,44.04510219,40,94
"Wood, Ohio",Wood,Ohio,41.6181122,220,683
"Williams, Ohio",Williams,Ohio,41.6710074,64,151
"Wayne, Ohio",Wayne,Ohio,38.16566029,179,491
"Washington, Ohio",Washington,Ohio,33.85064056,78,226
"Warren, Ohio",Warren,Ohio,32.72512669,295,1058
"Vinton, Ohio",Vinton,Ohio,48.54019848,27,68
"Van Wert, Ohio",Van Wert,Ohio,36.9011471,35,114
"Union, Ohio",Union,Ohio,44.23788797,87,254
"Tuscarawas, Ohio",Tuscarawas,Ohio,31.83922809,118,320
"Trumbull, Ohio",Trumbull,Ohio,43.11676277,335,904
"Summit, Ohio",Summit,Ohio,38.75569842,843,2768
"Stark, Ohio",Stark,Ohio,40.42396544,582,1653
"Shelby, Ohio",Shelby,Ohio,43.598631,80,192
"Seneca, Ohio",Seneca,Ohio,47.22742448,116,324
"Scioto, Ohio",Scioto,Ohio,40.41295932,119,322
"Sandusky, Ohio",Sandusky,Ohio,41.86381603,86,227
"Ross, Ohio",Ross,Ohio,43.2802429,130,379
"Richland, Ohio",Richland,Ohio,41.85323732,209,597
"Putnam, Ohio",Putnam,Ohio,23.05177569,33,123
"Preble, Ohio",Preble,Ohio,40.38972982,65,184
"Portage, Ohio",Portage,Ohio,40.7247831,276,879
"Pike, Ohio",Pike,Ohio,37.94871795,37,101
"Pickaway, Ohio",Pickaway,Ohio,37.02985312,84,227
"Perry, Ohio",Perry,Ohio,25.40253244,39,132
"Paulding, Ohio",Paulding,Ohio,31.95332037,23,63
"Ottawa, Ohio",Ottawa,Ohio,34.50700557,53,123
"Noble, Ohio",Noble,Ohio,14.20051122,8,41
"Muskingum, Ohio",Muskingum,Ohio,40.71263395,150,453
"Morrow, Ohio",Morrow,Ohio,41.66765875,70,187
"Morgan, Ohio",Morgan,Ohio,35.43944917,21,116
"Montgomery, Ohio",Montgomery,Ohio,43.66799328,887,2665
"Monroe, Ohio",Monroe,Ohio,31.83902191,15,34
"Miami, Ohio",Miami,Ohio,45.30244777,189,529
"Mercer, Ohio",Mercer,Ohio,28.32058907,48,158
"Meigs, Ohio",Meigs,Ohio,26.78810608,28,81
"Medina, Ohio",Medina,Ohio,38.62516485,280,894
"Marion, Ohio",Marion,Ohio,35.557035,94,272
"Mahoning, Ohio",Mahoning,Ohio,39.76582348,360,1081
"Madison, Ohio",Madison,Ohio,28.74079396,64,202
"Lucas, Ohio",Lucas,Ohio,36.06291628,614,1916
"Lorain, Ohio",Lorain,Ohio,40.59362006,494,1448
"Logan, Ohio",Logan,Ohio,38.93993092,69,201
"Licking, Ohio",Licking,Ohio,52.09690023,336,950
"Lawrence, Ohio",Lawrence,Ohio,30.9992078,72,222
"Lake, Ohio",Lake,Ohio,37.50484977,348,1016
"Knox, Ohio",Knox,Ohio,35.89233876,91,248
"Jefferson, Ohio",Jefferson,Ohio,38.79531142,103,291
"Jackson, Ohio",Jackson,Ohio,58.95684665,77,174
"Huron, Ohio",Huron,Ohio,40.67394661,118,335
"Holmes, Ohio",Holmes,Ohio,15.00817687,29,84
"Hocking, Ohio",Hocking,Ohio,43.24891523,61,144
"Highland, Ohio",Highland,Ohio,47.92743086,82,191
"Henry, Ohio",Henry,Ohio,34.350593,38,110
"Harrison, Ohio",Harrison,Ohio,31.66115528,18,44
"Hardin, Ohio",Hardin,Ohio,43.3184955,58,160
"Hancock, Ohio",Hancock,Ohio,56.08058237,155,439
"Hamilton, Ohio",Hamilton,Ohio,36.76904744,1233,4000
"Guernsey, Ohio",Guernsey,Ohio,35.55615189,53,166
"Greene, Ohio",Greene,Ohio,41.08677627,331,1055
"Geauga, Ohio",Geauga,Ohio,23.71445589,86,303
"Gallia, Ohio",Gallia,Ohio,37.46594005,44,123
"Fulton, Ohio",Fulton,Ohio,37.58682026,71,181
"Franklin, Ohio",Franklin,Ohio,36.90425177,1936,6340
"Fayette, Ohio",Fayette,Ohio,64.36512581,66,151
"Fairfield, Ohio",Fairfield,Ohio,39.65063984,292,849
"Erie, Ohio",Erie,Ohio,36.30203291,114,330
"Delaware, Ohio",Delaware,Ohio,33.19731655,288,977
"Defiance, Ohio",Defiance,Ohio,47.82146653,72,186
"Darke, Ohio",Darke,Ohio,42.3237146,89,173
"Cuyahoga, Ohio",Cuyahoga,Ohio,33.76970527,1705,5812
"Crawford, Ohio",Crawford,Ohio,39.65033933,43,106
"Coshocton, Ohio",Coshocton,Ohio,30.41994361,41,115
"Columbiana, Ohio",Columbiana,Ohio,40.16933661,167,464
"Clinton, Ohio",Clinton,Ohio,45.91610547,87,219
"Clermont, Ohio",Clermont,Ohio,41.7228687,365,1069
"Clark, Ohio",Clark,Ohio,42.58504104,231,600
"Champaign, Ohio",Champaign,Ohio,49.86484004,76,180
"Carroll, Ohio",Carroll,Ohio,43.50692156,66,136
"Butler, Ohio",Butler,Ohio,40.87866381,629,1830
"Brown, Ohio",Brown,Ohio,42.37619631,65,170
"Belmont, Ohio",Belmont,Ohio,31.07849974,82,235
"Auglaize, Ohio",Auglaize,Ohio,42.41302576,77,221
"Athens, Ohio",Athens,Ohio,46.35204618,97,280
"Ashtabula, Ohio",Ashtabula,Ohio,46.8933177,184,452
"Ashland, Ohio",Ashland,Ohio,46.84937925,96,260
"Allen, Ohio",Allen,Ohio,35.99679219,158,494
"Adams, Ohio",Adams,Ohio,33.43261808,44,122
"Williams, North Dakota",Williams,North Dakota,40.19908116,63,163
"Ward, North Dakota",Ward,North Dakota,46.57390697,128,360
"Walsh, North Dakota",Walsh,North Dakota,16.10231873,7,35
"Traill, North Dakota",Traill,North Dakota,64.808814,16,38
"Stutsman, North Dakota",Stutsman,North Dakota,46.27273148,40,99
"Stark, North Dakota",Stark,North Dakota,39.82383808,51,166
"Sioux, North Dakota",Sioux,North Dakota,63.09590578,9,18
"Sargent, North Dakota",Sargent,North Dakota,38.40245776,6,11
"Rolette, North Dakota",Rolette,North Dakota,32.34937323,16,56
"Richland, North Dakota",Richland,North Dakota,27.37559314,18,55
"Ramsey, North Dakota",Ramsey,North Dakota,33.78663739,16,53
"Pembina, North Dakota",Pembina,North Dakota,28.64919066,8,24
"Mountrail, North Dakota",Mountrail,North Dakota,43.92764858,17,35
"Morton, North Dakota",Morton,North Dakota,33.6690479,46,129
"Mercer, North Dakota",Mercer,North Dakota,20.89801767,7,22
"McLean, North Dakota",McLean,North Dakota,20.74473602,8,22
"McKenzie, North Dakota",McKenzie,North Dakota,24.73206925,12,32
"McHenry, North Dakota",McHenry,North Dakota,25.78205569,6,20
"Kidder, North Dakota",Kidder,North Dakota,56.17977528,5,12
"Grand Forks, North Dakota",Grand Forks,North Dakota,45.35147392,132,430
"Cass, North Dakota",Cass,North Dakota,40.72010287,304,952
"Burleigh, North Dakota",Burleigh,North Dakota,41.84437924,166,496
"Benson, North Dakota",Benson,North Dakota,32.91948834,7,18
"Barnes, North Dakota",Barnes,North Dakota,21.24244713,9,29
"Yancey, North Carolina",Yancey,North Carolina,28.75766871,21,54
"Yadkin, North Carolina",Yadkin,North Carolina,30.37902684,47,160
"Wilson, North Carolina",Wilson,North Carolina,31.77649287,102,321
"Wilkes, North Carolina",Wilkes,North Carolina,32.28284678,79,233
"Wayne, North Carolina",Wayne,North Carolina,34.77971216,142,399
"Watauga, North Carolina",Watauga,North Carolina,38.46220332,89,296
"Washington, North Carolina",Washington,North Carolina,21.50907683,10,22
"Warren, North Carolina",Warren,North Carolina,19.04036558,12,41
"Wake, North Carolina",Wake,North Carolina,33.4347098,1507,5548
"Vance, North Carolina",Vance,North Carolina,31.39412759,55,160
"Union, North Carolina",Union,North Carolina,35.0262697,336,1185
"Transylvania, North Carolina",Transylvania,North Carolina,26.35780342,35,105
"Swain, North Carolina",Swain,North Carolina,50.21706732,31,86
"Surry, North Carolina",Surry,North Carolina,39.69492584,117,315
"Stokes, North Carolina",Stokes,North Carolina,38.82992493,72,177
"Stanly, North Carolina",Stanly,North Carolina,24.03958001,62,234
"Scotland, North Carolina",Scotland,North Carolina,24.18361963,33,94
"Sampson, North Carolina",Sampson,North Carolina,32.1963425,105,295
"Rutherford, North Carolina",Rutherford,North Carolina,40.81733624,99,264
"Rowan, North Carolina",Rowan,North Carolina,31.58402499,165,500
"Rockingham, North Carolina",Rockingham,North Carolina,35.39886112,139,367
"Robeson, North Carolina",Robeson,North Carolina,25.93694536,121,323
"Richmond, North Carolina",Richmond,North Carolina,31.79013799,54,121
"Randolph, North Carolina",Randolph,North Carolina,31.68588833,191,564
"Polk, North Carolina",Polk,North Carolina,22.66774129,18,68
"Pitt, North Carolina",Pitt,North Carolina,36.36842648,254,834
"Person, North Carolina",Person,North Carolina,26.00650716,47,152
"Perquimans, North Carolina",Perquimans,North Carolina,32.48335228,16,45
"Pender, North Carolina",Pender,North Carolina,32.43060739,73,209
"Pasquotank, North Carolina",Pasquotank,North Carolina,39.51592986,64,192
"Pamlico, North Carolina",Pamlico,North Carolina,29.43196311,12,29
"Orange, North Carolina",Orange,North Carolina,30.46681491,154,694
"Onslow, North Carolina",Onslow,North Carolina,50.40048622,408,1099
"Northampton, North Carolina",Northampton,North Carolina,15.68918302,11,30
"New Hanover, North Carolina",New Hanover,North Carolina,37.38191456,343,1085
"Nash, North Carolina",Nash,North Carolina,28.43778239,107,359
"Moore, North Carolina",Moore,North Carolina,28.0697377,108,319
"Montgomery, North Carolina",Montgomery,North Carolina,21.80957129,21,78
"Mitchell, North Carolina",Mitchell,North Carolina,44.46101773,31,72
"Mecklenburg, North Carolina",Mecklenburg,North Carolina,35.02671836,1586,5549
"McDowell, North Carolina",McDowell,North Carolina,56.40063437,101,249
"Martin, North Carolina",Martin,North Carolina,20.61288993,18,65
"Madison, North Carolina",Madison,North Carolina,42.32247438,37,95
"Macon, North Carolina",Macon,North Carolina,24.7425438,37,112
"Lincoln, North Carolina",Lincoln,North Carolina,33.6067834,117,338
"Lenoir, North Carolina",Lenoir,North Carolina,30.78365067,67,201
"Lee, North Carolina",Lee,North Carolina,28.84009175,86,278
"Jones, North Carolina",Jones,North Carolina,30.73950466,7,15
"Johnston, North Carolina",Johnston,North Carolina,36.06564797,255,788
"Jackson, North Carolina",Jackson,North Carolina,34.40424361,55,191
"Iredell, North Carolina",Iredell,North Carolina,36.49210396,276,829
"Hyde, North Carolina",Hyde,North Carolina,34.76611884,11,29
"Hoke, North Carolina",Hoke,North Carolina,33.17880193,73,211
"Hertford, North Carolina",Hertford,North Carolina,15.35553981,13,50
"Henderson, North Carolina",Henderson,North Carolina,27.40613399,132,451
"Haywood, North Carolina",Haywood,North Carolina,27.75319765,69,214
"Harnett, North Carolina",Harnett,North Carolina,38.81702642,275,802
"Halifax, North Carolina",Halifax,North Carolina,32.49146493,67,165
"Guilford, North Carolina",Guilford,North Carolina,30.20284772,649,2348
"Greene, North Carolina",Greene,North Carolina,24.31463133,16,61
"Granville, North Carolina",Granville,North Carolina,22.8115475,47,160
"Graham, North Carolina",Graham,North Carolina,33.62269226,11,23
"Gates, North Carolina",Gates,North Carolina,25.87017874,11,26
"Gaston, North Carolina",Gaston,North Carolina,33.51365331,311,892
"Franklin, North Carolina",Franklin,North Carolina,34.37302066,89,252
"Forsyth, North Carolina",Forsyth,North Carolina,36.51411879,525,1673
"Edgecombe, North Carolina",Edgecombe,North Carolina,33.12174962,67,172
"Durham, North Carolina",Durham,North Carolina,29.14467544,366,1519
"Duplin, North Carolina",Duplin,North Carolina,27.66151922,69,189
"Davie, North Carolina",Davie,North Carolina,26.96176119,46,178
"Davidson, North Carolina",Davidson,North Carolina,39.50711916,301,820
"Dare, North Carolina",Dare,North Carolina,23.54682454,35,140
"Currituck, North Carolina",Currituck,North Carolina,31.89215281,37,121
"Cumberland, North Carolina",Cumberland,North Carolina,37.62028386,484,1533
"Craven, North Carolina",Craven,North Carolina,34.40642895,143,446
"Columbus, North Carolina",Columbus,North Carolina,35.30865651,72,167
"Cleveland, North Carolina",Cleveland,North Carolina,36.81574307,157,454
"Clay, North Carolina",Clay,North Carolina,21.68444791,10,41
"Chowan, North Carolina",Chowan,North Carolina,31.13540441,18,42
"Cherokee, North Carolina",Cherokee,North Carolina,32.427695,37,91
"Chatham, North Carolina",Chatham,North Carolina,29.52450534,118,424
"Catawba, North Carolina",Catawba,North Carolina,41.6274095,281,778
"Caswell, North Carolina",Caswell,North Carolina,11.26053665,7,30
"Carteret, North Carolina",Carteret,North Carolina,31.22454521,92,257
"Camden, North Carolina",Camden,North Carolina,32.10510718,13,43
"Caldwell, North Carolina",Caldwell,North Carolina,34.11072087,108,268
"Cabarrus, North Carolina",Cabarrus,North Carolina,36.17531282,329,1053
"Burke, North Carolina",Burke,North Carolina,35.79682476,114,308
"Buncombe, North Carolina",Buncombe,North Carolina,35.43065204,376,1215
"Brunswick, North Carolina",Brunswick,North Carolina,29.76809577,166,484
"Bladen, North Carolina",Bladen,North Carolina,23.73334271,27,88
"Bertie, North Carolina",Bertie,North Carolina,23.02774166,17,51
"Beaufort, North Carolina",Beaufort,North Carolina,28.72806493,48,145
"Avery, North Carolina",Avery,North Carolina,25.9965338,12,40
"Ashe, North Carolina",Ashe,North Carolina,30.03566736,32,99
"Anson, North Carolina",Anson,North Carolina,22.30848169,20,61
"Alleghany, North Carolina",Alleghany,North Carolina,47.85521622,22,50
"Alexander, North Carolina",Alexander,North Carolina,31.70628597,39,127
"Alamance, North Carolina",Alamance,North Carolina,28.75255196,209,653
"Yates, New York",Yates,New York,19.56640839,20,63
"Wyoming, New York",Wyoming,New York,27.53648584,44,154
"Westchester, New York",Westchester,New York,25.41917806,1013,3533
"Wayne, New York",Wayne,New York,32.91136574,125,340
"Washington, New York",Washington,New York,27.62054666,73,216
"Warren, New York",Warren,New York,26.5989786,70,255
"Ulster, New York",Ulster,New York,31.500072,245,837
"Tompkins, New York",Tompkins,New York,42.74542187,176,599
"Tioga, New York",Tioga,New York,35.17178102,69,198
"Sullivan, New York",Sullivan,New York,31.0218263,95,275
"Suffolk, New York",Suffolk,New York,29.04279961,1802,5964
"Steuben, New York",Steuben,New York,31.26516091,116,358
"St. Lawrence, New York",St. Lawrence,New York,30.86419753,132,426
"Seneca, New York",Seneca,New York,37.72918473,47,124
"Schuyler, New York",Schuyler,New York,32.95884443,23,64
"Schoharie, New York",Schoharie,New York,32.76539974,40,140
"Schenectady, New York",Schenectady,New York,41.34084945,247,785
"Saratoga, New York",Saratoga,New York,31.66833985,294,1050
"Rockland, New York",Rockland,New York,23.71593058,320,1092
"Richmond, New York",Richmond,New York,25.61241568,505,1743
"Rensselaer, New York",Rensselaer,New York,33.37575485,214,723
"Queens, New York",Queens,New York,27.24412773,2571,8657
"Putnam, New York",Putnam,New York,31.32705445,124,381
"Otsego, New York",Otsego,New York,36.3641653,100,328
"Oswego, New York",Oswego,New York,45.14395198,213,576
"Orleans, New York",Orleans,New York,33.35179219,53,151
"Orange, New York",Orange,New York,31.49010403,491,1577
"Ontario, New York",Ontario,New York,35.3322557,160,495
"Onondaga, New York",Onondaga,New York,33.4666296,626,2090
"Oneida, New York",Oneida,New York,37.3094209,347,987
"Niagara, New York",Niagara,New York,37.87807273,321,968
"New York, New York",New York,New York,34.58658854,2261,8748
"Nassau, New York",Nassau,New York,27.76669546,1520,5315
"Montgomery, New York",Montgomery,New York,30.98073386,64,198
"Monroe, New York",Monroe,New York,33.27530807,1007,3592
"Madison, New York",Madison,New York,29.51325826,91,298
"Livingston, New York",Livingston,New York,38.65336658,93,248
"Lewis, New York",Lewis,New York,24.15645654,25,70
"Kings, New York",Kings,New York,26.26316004,2815,9978
"Jefferson, New York",Jefferson,New York,40.83618975,193,581
"Herkimer, New York",Herkimer,New York,48.92553818,103,286
"Hamilton, New York",Hamilton,New York,22.50478227,8,27
"Greene, New York",Greene,New York,42.76054097,86,253
"Genesee, New York",Genesee,New York,43.45233024,102,257
"Fulton, New York",Fulton,New York,35.00804239,74,192
"Franklin, New York",Franklin,New York,32.68292683,67,193
"Essex, New York",Essex,New York,24.97074855,35,117
"Erie, New York",Erie,New York,33.52484885,1276,4316
"Dutchess, New York",Dutchess,New York,31.53977693,377,1272
"Delaware, New York",Delaware,New York,26.59988582,41,145
"Cortland, New York",Cortland,New York,39.81737099,75,232
"Columbia, New York",Columbia,New York,32.95421899,78,272
"Clinton, New York",Clinton,New York,35.78168738,113,341
"Chenango, New York",Chenango,New York,43.86070321,73,184
"Chemung, New York",Chemung,New York,37.59398496,122,349
"Chautauqua, New York",Chautauqua,New York,35.83789392,181,529
"Cayuga, New York",Cayuga,New York,40.25278751,120,283
"Cattaraugus, New York",Cattaraugus,New York,32.1416858,98,308
"Broome, New York",Broome,New York,45.02676866,364,1027
"Bronx, New York",Bronx,New York,27.3383041,1586,5029
"Allegany, New York",Allegany,New York,25.46810375,50,172
"Albany, New York",Albany,New York,35.85240836,465,1522
"Valencia, New Mexico",Valencia,New Mexico,31.57237524,89,239
"Union, New Mexico",Union,New Mexico,42.50667962,7,13
"Torrance, New Mexico",Torrance,New Mexico,27.00408919,14,37
"Taos, New Mexico",Taos,New Mexico,28.31847855,38,91
"Socorro, New Mexico",Socorro,New Mexico,19.3544545,13,49
"Sierra, New Mexico",Sierra,New Mexico,21.76562772,10,31
"Santa Fe, New Mexico",Santa Fe,New Mexico,27.88765442,174,566
"Sandoval, New Mexico",Sandoval,New Mexico,33.425019,227,657
"San Miguel, New Mexico",San Miguel,New Mexico,28.58829171,31,88
"San Juan, New Mexico",San Juan,New Mexico,36.6938813,176,468
"Roosevelt, New Mexico",Roosevelt,New Mexico,30.23133544,23,77
"Rio Arriba, New Mexico",Rio Arriba,New Mexico,25.76973065,46,139
"Quay, New Mexico",Quay,New Mexico,50.62009618,16,41
"Otero, New Mexico",Otero,New Mexico,20.73842388,61,236
"McKinley, New Mexico",McKinley,New Mexico,21.78472263,59,225
"Luna, New Mexico",Luna,New Mexico,25.59760564,26,84
"Los Alamos, New Mexico",Los Alamos,New Mexico,40.2360515,9,30
"Lincoln, New Mexico",Lincoln,New Mexico,18.51303318,15,52
"Lea, New Mexico",Lea,New Mexico,29.06857448,85,234
"Guadalupe, New Mexico",Guadalupe,New Mexico,34.16856492,6,13
"Grant, New Mexico",Grant,New Mexico,17.00984781,19,65
"Eddy, New Mexico",Eddy,New Mexico,41.17259552,100,227
"Doña Ana, New Mexico",Doña Ana,New Mexico,32.55391303,278,985
"Curry, New Mexico",Curry,New Mexico,41.5187561,80,227
"Colfax, New Mexico",Colfax,New Mexico,32.36769704,16,59
"Cibola, New Mexico",Cibola,New Mexico,18.9244056,22,51
"Chaves, New Mexico",Chaves,New Mexico,32.63459875,86,213
"Bernalillo, New Mexico",Bernalillo,New Mexico,34.84751235,936,2841
"Warren, New Jersey",Warren,New Jersey,38.05602885,176,513
"Union, New Jersey",Union,New Jersey,29.04796656,691,2436
"Sussex, New Jersey",Sussex,New Jersey,31.16587782,182,644
"Somerset, New Jersey",Somerset,New Jersey,27.89945685,361,1334
"Salem, New Jersey",Salem,New Jersey,37.05720422,98,276
"Passaic, New Jersey",Passaic,New Jersey,27.50078987,571,1872
"Ocean, New Jersey",Ocean,New Jersey,25.91556552,660,2187
"Morris, New Jersey",Morris,New Jersey,26.96958313,537,1958
"Monmouth, New Jersey",Monmouth,New Jersey,26.33067504,661,2400
"Middlesex, New Jersey",Middlesex,New Jersey,30.74607019,1071,3771
"Mercer, New Jersey",Mercer,New Jersey,26.90527318,425,1596
"Hunterdon, New Jersey",Hunterdon,New Jersey,28.96279133,153,570
"Hudson, New Jersey",Hudson,New Jersey,30.54650864,870,2994
"Gloucester, New Jersey",Gloucester,New Jersey,34.05143438,387,1183
"Essex, New Jersey",Essex,New Jersey,31.23038954,1067,3529
"Cumberland, New Jersey",Cumberland,New Jersey,40.22576712,256,741
"Cape May, New Jersey",Cape May,New Jersey,27.25064363,105,337
"Camden, New Jersey",Camden,New Jersey,32.57028472,699,2133
"Burlington, New Jersey",Burlington,New Jersey,31.46354169,575,1963
"Bergen, New Jersey",Bergen,New Jersey,26.30494008,1003,3749
"Atlantic, New Jersey",Atlantic,New Jersey,33.66185836,366,1211
"Sullivan, New Hampshire",Sullivan,New Hampshire,35.81998403,61,146
"Strafford, New Hampshire",Strafford,New Hampshire,35.38893582,186,595
"Rockingham, New Hampshire",Rockingham,New Hampshire,31.01510618,391,1295
"Merrimack, New Hampshire",Merrimack,New Hampshire,38.79799074,245,720
"Hillsborough, New Hampshire",Hillsborough,New Hampshire,37.31166773,631,2028
"Grafton, New Hampshire",Grafton,New Hampshire,32.74736645,119,355
"Coos, New Hampshire",Coos,New Hampshire,37.82391759,47,134
"Cheshire, New Hampshire",Cheshire,New Hampshire,32.33817975,100,299
"Carroll, New Hampshire",Carroll,New Hampshire,21.3943121,43,165
"Belknap, New Hampshire",Belknap,New Hampshire,42.08684057,101,280
"White Pine, Nevada",White Pine,Nevada,33.59086329,12,33
"Washoe, Nevada",Washoe,Nevada,39.82416764,736,2182
"Storey, Nevada",Storey,Nevada,35.54670838,40,165
"Nye, Nevada",Nye,Nevada,33.27482109,69,167
"Mineral, Nevada",Mineral,Nevada,43.78283713,8,14
"Lyon, Nevada",Lyon,Nevada,37.71980358,55,124
"Lincoln, Nevada",Lincoln,Nevada,49.92234302,9,22
"Lander, Nevada",Lander,Nevada,39.12363067,9,17
"Humboldt, Nevada",Humboldt,Nevada,33.04146704,24,68
"Eureka, Nevada",Eureka,Nevada,51.57297576,8,14
"Esmeralda, Nevada",Esmeralda,Nevada,223.2142857,8,17
"Elko, Nevada",Elko,Nevada,46.26022595,95,229
"Douglas, Nevada",Douglas,Nevada,28.75005227,55,154
"Clark, Nevada",Clark,Nevada,39.29953706,3562,10277
"Churchill, Nevada",Churchill,Nevada,36.71970624,72,230
"Carson City, Nevada",Carson City,Nevada,39.18364625,94,257
"York, Nebraska",York,Nebraska,32.88992837,18,75
"Webster, Nebraska",Webster,Nebraska,42.43281471,6,18
"Wayne, Nebraska",Wayne,Nebraska,26.71796516,10,33
"Washington, Nebraska",Washington,Nebraska,34.86570248,27,95
"Valley, Nebraska",Valley,Nebraska,54.00864138,9,21
"Thurston, Nebraska",Thurston,Nebraska,44.21983576,14,32
"Sioux, Nebraska",Sioux,Nebraska,43.03296325,40,120
"Seward, Nebraska",Seward,Nebraska,41.68822954,29,85
"Scotts Bluff, Nebraska",Scotts Bluff,Nebraska,34.40283914,19,54
"Saunders, Nebraska",Saunders,Nebraska,28.54141931,25,81
"Sarpy, Nebraska",Sarpy,Nebraska,39.83545095,306,1073
"Saline, Nebraska",Saline,Nebraska,54.31461742,32,89
"Richardson, Nebraska",Richardson,Nebraska,31.49407911,10,39
"Red Willow, Nebraska",Red Willow,Nebraska,34.61325457,15,42
"Polk, Nebraska",Polk,Nebraska,35.23962948,7,23
"Platte, Nebraska",Platte,Nebraska,27.63270607,40,147
"Pierce, Nebraska",Pierce,Nebraska,53.22384428,14,31
"Phelps, Nebraska",Phelps,Nebraska,27.82105497,10,72
"Perkins, Nebraska",Perkins,Nebraska,45.75402635,5,10
"Otoe, Nebraska",Otoe,Nebraska,37.32069838,23,68
"Nuckolls, Nebraska",Nuckolls,Nebraska,29.46723244,5,21
"Nemaha, Nebraska",Nemaha,Nebraska,36.30554749,10,29
"Nance, Nebraska",Nance,Nebraska,50.07153076,7,15
"Morrill, Nebraska",Morrill,Nebraska,26.42706131,5,21
"Merrick, Nebraska",Merrick,Nebraska,36.21756881,11,32
